time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,subjects,KS2_Prior,num_U,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_X,All_Grades,perc_U,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,117 - 120,0,1,1,7,13,49,98,308,705,1737,0,2919,0,0,0,0.2,0.4,1.7,3.4,10.6,24.2,59.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,Less than 80,268,904,616,312,243,136,44,30,16,7,22,2598,10.4,35.1,23.9,12.1,9.4,5.3,1.7,1.2,0.6,0.3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,80 - 89.5,426,3243,3528,2341,1362,385,58,24,7,5,49,11428,3.7,28.5,31,20.6,12,3.4,0.5,0.2,0.1,0
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,90 - 95.5,294,2928,6904,9198,10111,4764,751,350,125,28,60,35513,0.8,8.3,19.5,25.9,28.5,13.4,2.1,1,0.4,0.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,96 - 99.5,180,1269,4612,9521,18308,13673,3561,1598,573,145,60,53500,0.3,2.4,8.6,17.8,34.3,25.6,6.7,3,1.1,0.3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,100 - 102,100,529,1893,5251,15372,16692,6416,3337,1244,349,38,51221,0.2,1,3.7,10.3,30,32.6,12.5,6.5,2.4,0.7
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,102.5 - 104.5,69,274,1070,3285,12586,19503,11301,7046,3078,868,49,59129,0.1,0.5,1.8,5.6,21.3,33,19.1,11.9,5.2,1.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,105 - 107,46,132,492,1553,7735,15495,13432,10697,5894,2031,25,57532,0.1,0.2,0.9,2.7,13.5,26.9,23.4,18.6,10.2,3.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,107.5 - 109.5,29,50,160,518,3419,8878,11082,11982,8508,4061,11,48698,0.1,0.1,0.3,1.1,7,18.2,22.8,24.6,17.5,8.3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,110 - 113,16,23,51,173,1296,4410,7857,11965,11995,8557,13,46356,0,0,0.1,0.4,2.8,9.5,17,25.8,25.9,18.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,113.5 - 116.5,4,2,5,26,157,657,1778,4173,6742,8045,4,21593,0,0,0,0.1,0.7,3,8.2,19.3,31.2,37.3
