time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,ks2_scaled_score_group,subject,qualification_type,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_u,num_x,num_covid_impacted,all_grades,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_u,perc_x,perc_covid_impacted
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,Total,German,GCSE,632,1655,4249,4650,6008,3433,3461,2874,2724,246,50,10,29992,2.1,5.5,14.2,15.5,20,11.4,11.5,9.6,9.1,0.8,0.2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,Less than 80,German,GCSE,3,2,2,3,4,2,2,1,0,1,0,0,20,15,10,10,15,20,10,10,5,0,5,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,80 - 89.5,German,GCSE,17,23,25,3,4,2,1,1,2,4,1,0,83,20.5,27.7,30.1,3.6,4.8,2.4,1.2,1.2,2.4,4.8,1.2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,90 - 95.5,German,GCSE,68,145,141,54,34,9,4,4,2,6,2,0,469,14.5,30.9,30.1,11.5,7.2,1.9,0.9,0.9,0.4,1.3,0.4,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,96 - 99.5,German,GCSE,92,247,373,224,155,21,18,10,11,9,5,1,1166,7.9,21.2,32,19.2,13.3,1.8,1.5,0.9,0.9,0.8,0.4,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,100 - 102,German,GCSE,107,234,536,368,323,74,28,19,12,30,2,0,1733,6.2,13.5,30.9,21.2,18.6,4.3,1.6,1.1,0.7,1.7,0.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,102.5 - 104.5,German,GCSE,120,326,750,688,621,161,99,49,20,26,6,0,2866,4.2,11.4,26.2,24,21.7,5.6,3.5,1.7,0.7,0.9,0.2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,105 - 107,German,GCSE,91,285,911,922,1039,349,255,118,67,40,7,1,4085,2.2,7,22.3,22.6,25.4,8.5,6.2,2.9,1.6,1,0.2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,107.5 - 109.5,German,GCSE,72,190,693,972,1336,676,507,290,169,47,12,3,4967,1.4,3.8,14,19.6,26.9,13.6,10.2,5.8,3.4,0.9,0.2,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,110 - 113,German,GCSE,31,107,526,869,1482,1063,1097,760,493,55,6,3,6492,0.5,1.6,8.1,13.4,22.8,16.4,16.9,11.7,7.6,0.8,0.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,113.5 - 116.5,German,GCSE,4,35,134,354,693,750,962,972,955,13,3,1,4876,0.1,0.7,2.7,7.3,14.2,15.4,19.7,19.9,19.6,0.3,0.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,117 - 120,German,GCSE,1,2,27,45,119,196,310,446,715,2,0,0,1863,0.1,0.1,1.4,2.4,6.4,10.5,16.6,23.9,38.4,0.1,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No identified SEN,No scaled score,German,GCSE,26,59,131,148,198,130,178,204,278,13,6,1,1372,1.9,4.3,9.5,10.8,14.4,9.5,13,14.9,20.3,0.9,0.4,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,Total,German,GCSE,486,1165,2641,2594,3239,1784,1704,1387,1351,166,30,0,16547,2.9,7,16,15.7,19.6,10.8,10.3,8.4,8.2,1,0.2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,Less than 80,German,GCSE,3,3,4,2,2,1,1,0,0,0,0,0,16,18.8,18.8,25,12.5,12.5,6.3,6.3,0,0,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,80 - 89.5,German,GCSE,21,18,19,5,2,2,3,2,2,3,1,0,78,26.9,23.1,24.4,6.4,2.6,2.6,3.8,2.6,2.6,3.8,1.3,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,90 - 95.5,German,GCSE,62,101,95,32,17,4,3,3,1,8,2,0,328,18.9,30.8,29,9.8,5.2,1.2,0.9,0.9,0.3,2.4,0.6,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,96 - 99.5,German,GCSE,69,159,209,98,79,11,12,5,2,6,4,0,654,10.6,24.3,32,15,12.1,1.7,1.8,0.8,0.3,0.9,0.6,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,100 - 102,German,GCSE,74,167,317,174,152,21,12,9,6,23,3,0,958,7.7,17.4,33.1,18.2,15.9,2.2,1.3,0.9,0.6,2.4,0.3,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,102.5 - 104.5,German,GCSE,82,230,432,357,298,65,41,28,10,17,5,0,1565,5.2,14.7,27.6,22.8,19,4.2,2.6,1.8,0.6,1.1,0.3,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,105 - 107,German,GCSE,72,201,542,514,552,164,110,53,29,22,3,0,2262,3.2,8.9,24,22.7,24.4,7.3,4.9,2.3,1.3,1,0.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,107.5 - 109.5,German,GCSE,55,139,436,553,726,324,226,124,74,29,5,0,2691,2,5.2,16.2,20.5,27,12,8.4,4.6,2.7,1.1,0.2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,110 - 113,German,GCSE,25,81,365,525,798,566,535,372,228,38,4,0,3537,0.7,2.3,10.3,14.8,22.6,16,15.1,10.5,6.4,1.1,0.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,113.5 - 116.5,German,GCSE,4,26,107,229,421,445,498,473,493,9,1,0,2706,0.1,1,4,8.5,15.6,16.4,18.4,17.5,18.2,0.3,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,117 - 120,German,GCSE,0,2,22,28,80,121,169,216,348,2,0,0,988,0,0.2,2.2,2.8,8.1,12.2,17.1,21.9,35.2,0.2,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Boys,No scaled score,German,GCSE,19,38,93,77,112,60,94,102,158,9,2,0,764,2.5,5,12.2,10.1,14.7,7.9,12.3,13.4,20.7,1.2,0.3,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,Total,German,GCSE,278,749,2060,2415,3136,1814,1922,1608,1503,126,41,11,15663,1.8,4.8,13.2,15.4,20,11.6,12.3,10.3,9.6,0.8,0.3,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,Less than 80,German,GCSE,3,3,1,2,2,1,1,1,1,1,1,0,17,17.6,17.6,5.9,11.8,11.8,5.9,5.9,5.9,5.9,5.9,5.9,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,80 - 89.5,German,GCSE,16,36,26,2,3,1,0,0,0,7,1,0,92,17.4,39.1,28.3,2.2,3.3,1.1,0,0,0,7.6,1.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,90 - 95.5,German,GCSE,44,86,96,39,28,5,3,1,1,4,1,0,308,14.3,27.9,31.2,12.7,9.1,1.6,1,0.3,0.3,1.3,0.3,0
