"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","KS2_Prior","num_U","num_11","num_21","num_22","num_32","num_33","num_43","num_44","num_54","num_55","num_65","num_66","num_76","num_77","num_87","num_88","num_98","num_99","num_X","All_Grades","perc_U","perc_11","perc_21","perc_22","perc_32","perc_33","perc_43","perc_44","perc_54","perc_55","perc_65","perc_66","perc_76","perc_77","perc_87","perc_88","perc_98","perc_99","perc_X"
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","105 - 107",470,182,260,441,845,1564,2962,3473,4147,5183,2476,2247,1833,1122,776,484,245,193,185,29088,470,182,260,441,845,1564,2962,3473,4147,5183,2476,2247,1833,1122,776,484,245,193,185
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","107.5 - 109.5",259,65,106,209,346,713,1439,1891,2608,3683,2313,2142,1818,1341,954,613,372,283,120,21275,259,65,106,209,346,713,1439,1891,2608,3683,2313,2142,1818,1341,954,613,372,283,120
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","110 - 113",156,30,49,90,157,278,652,927,1450,2181,1716,1826,1722,1378,1077,825,572,571,46,15703,156,30,49,90,157,278,652,927,1450,2181,1716,1826,1722,1378,1077,825,572,571,46
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","113.5 - 116.5",32,4,6,5,17,53,97,179,311,544,454,598,652,647,522,490,419,540,13,5583,32,4,6,5,17,53,97,179,311,544,454,598,652,647,522,490,419,540,13
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","117 - 120",0,1,0,1,1,4,9,23,33,62,59,90,90,108,138,128,116,296,3,1162,0,1,0,1,1,4,9,23,33,62,59,90,90,108,138,128,116,296,3
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","Less than 80",55,89,139,149,172,141,117,69,72,96,21,30,14,9,7,4,5,2,28,1219,55,89,139,149,172,141,117,69,72,96,21,30,14,9,7,4,5,2,28
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","80 - 89.5",301,621,1116,1561,1665,1246,829,302,230,168,23,16,26,17,7,5,0,5,163,8301,301,621,1116,1561,1665,1246,829,302,230,168,23,16,26,17,7,5,0,5,163
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","90 - 95.5",596,824,1583,2908,4739,5537,5045,2433,1696,1440,286,206,150,93,47,25,17,4,357,27986,596,824,1583,2908,4739,5537,5045,2433,1696,1440,286,206,150,93,47,25,17,4,357
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","96 - 99.5",783,660,1241,2328,4659,7717,9206,6264,5053,4731,1225,860,570,344,215,85,43,32,386,46402,783,660,1241,2328,4659,7717,9206,6264,5053,4731,1225,860,570,344,215,85,43,32,386
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","100 - 102",768,409,738,1344,2807,5431,8320,6949,6499,6689,2151,1671,1086,657,384,212,103,62,362,46642,768,409,738,1344,2807,5431,8320,6949,6499,6689,2151,1671,1086,657,384,212,103,62,362
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","102.5 - 104.5",836,308,573,1048,2143,4384,8035,7812,8545,9585,3824,3156,2309,1461,890,507,231,166,313,56126,836,308,573,1048,2143,4384,8035,7812,8545,9585,3824,3156,2309,1461,890,507,231,166,313
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","105 - 107",784,208,299,619,1237,2665,5368,6317,7795,9592,4864,4505,3615,2302,1541,983,476,325,266,53761,784,208,299,619,1237,2665,5368,6317,7795,9592,4864,4505,3615,2302,1541,983,476,325,266
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","107.5 - 109.5",438,74,125,250,528,1115,2474,3439,4824,6667,4444,4191,3650,2726,1927,1317,726,601,171,39687,438,74,125,250,528,1115,2474,3439,4824,6667,4444,4191,3650,2726,1927,1317,726,601,171
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","110 - 113",265,42,66,115,219,434,1113,1629,2683,4101,3297,3585,3522,2882,2308,1839,1246,1297,85,30728,265,42,66,115,219,434,1113,1629,2683,4101,3297,3585,3522,2882,2308,1839,1246,1297,85
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","113.5 - 116.5",45,6,8,9,27,75,150,304,538,917,830,1120,1277,1287,1133,1087,905,1245,27,10990,45,6,8,9,27,75,150,304,538,917,830,1120,1277,1287,1133,1087,905,1245,27
"202122","Academic year","National","E92000001","England","Provisional","SEN","Non SEN Pupils","117 - 120",0,0,0,2,4,7,17,26,48,113,109,154,189,221,265,286,236,688,6,2371,0,0,0,2,4,7,17,26,48,113,109,154,189,221,265,286,236,688,6
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","Less than 80",182,480,644,657,462,351,221,88,58,57,2,0,5,3,2,2,1,0,57,3272,182,480,644,657,462,351,221,88,58,57,2,0,5,3,2,2,1,0,57
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","80 - 89.5",494,1158,1966,2388,2202,1477,867,317,216,179,17,7,16,6,1,1,0,1,300,11613,494,1158,1966,2388,2202,1477,867,317,216,179,17,7,16,6,1,1,0,1,300
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","90 - 95.5",366,610,1091,1720,2316,2377,1971,943,680,615,79,47,36,24,18,7,3,3,295,13201,366,610,1091,1720,2316,2377,1971,943,680,615,79,47,36,24,18,7,3,3,295
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","96 - 99.5",216,294,502,825,1214,1704,1737,1057,932,936,167,137,93,60,27,16,7,5,212,10141,216,294,502,825,1214,1704,1737,1057,932,936,167,137,93,60,27,16,7,5,212
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","100 - 102",174,149,251,371,625,899,1148,849,757,842,206,175,124,79,51,24,10,5,134,6873,174,149,251,371,625,899,1148,849,757,842,206,175,124,79,51,24,10,5,134
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","102.5 - 104.5",140,106,155,291,438,684,933,756,787,906,290,201,184,113,61,53,15,12,117,6242,140,106,155,291,438,684,933,756,787,906,290,201,184,113,61,53,15,12,117
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","105 - 107",114,73,109,151,310,427,582,587,626,820,317,260,203,132,111,64,39,27,94,5046,114,73,109,151,310,427,582,587,626,820,317,260,203,132,111,64,39,27,94
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","107.5 - 109.5",57,31,46,84,109,212,320,319,361,590,215,246,227,134,107,63,54,40,66,3281,57,31,46,84,109,212,320,319,361,590,215,246,227,134,107,63,54,40,66
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","110 - 113",40,15,13,25,53,84,149,167,203,346,196,196,176,132,112,74,70,69,37,2157,40,15,13,25,53,84,149,167,203,346,196,196,176,132,112,74,70,69,37
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","113.5 - 116.5",9,1,1,5,3,18,26,39,57,100,45,70,66,59,45,49,40,54,10,697,9,1,1,5,3,18,26,39,57,100,45,70,66,59,45,49,40,54,10
"202122","Academic year","National","E92000001","England","Provisional","SEN","SEN Pupils","117 - 120",0,1,0,0,0,1,0,6,7,16,5,9,12,16,15,16,15,21,1,141,0,1,0,0,0,1,0,6,7,16,5,9,12,16,15,16,15,21,1
