time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,ks2_scaled_score_group,Entered_for_EBacc,Not_Entered,%_Entered_for_EBacc,%_Not_Entered,EBacc_9-4_Achieved,EBacc_9-4_Not_Achieved,%_EBacc_9-4_Achieved,%_EBacc_9-4_Not_Achieved,EBacc_9-5_Achieved,EBacc_9-5_Not_Achieved,%_EBacc_9-5_Achieved,%_EBacc_9-5_Not_Achieved,Basics_9-4_Achieved,Basics_9-4_Not_Achieved,%_Basics_9-4_Achieved,%_Basics_9-4_Not_Achieved,Basics_9-5_Achieved,Basics_9-5_Not_Achieved,%_Basics_9-5_Achieved,%_Basics_9-5_Not_Achieved
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,80 - 89.5,1215,6155,16.5,83.5,80,7290,1.1,98.9,23,7347,0.3,99.7,474,6896,6.4,93.6,129,7241,1.8,98.2
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,90 - 95.5,4889,20008,19.6,80.4,569,24328,2.3,97.7,205,24692,0.8,99.2,4295,20602,17.3,82.7,1093,23804,4.4,95.6
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,96 - 99.5,11190,32682,25.5,74.5,2310,41562,5.3,94.7,798,43074,1.8,98.2,15958,27914,36.4,63.6,5257,38615,12,88
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,100 - 102,16003,33713,32.2,67.8,5042,44674,10.1,89.9,2014,47702,4.1,95.9,27185,22531,54.7,45.3,11525,38191,23.2,76.8
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,102.5 - 104.5,27052,42597,38.8,61.2,11790,57859,16.9,83.1,5436,64213,7.8,92.2,47658,21991,68.4,31.6,25312,44337,36.3,63.7
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,105 - 107,36486,42853,46,54,20438,58901,25.8,74.2,11457,67882,14.4,85.6,63510,15829,80,20,41551,37788,52.4,47.6
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,107.5 - 109.5,39180,34723,53,47,27431,46472,37.1,62.9,18427,55476,24.9,75.1,65900,8003,89.2,10.8,51228,22675,69.3,30.7
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,110 - 113,47138,30939,60.4,39.6,38936,39141,49.9,50.1,30710,47367,39.3,60.7,74179,3898,95,5,65542,12535,83.9,16.1
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,113.5 - 116.5,29005,13559,68.1,31.9,26764,15800,62.9,37.1,23917,18647,56.2,43.8,41816,748,98.2,1.8,40055,2509,94.1,5.9
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,117 - 120,9172,3000,75.4,24.6,8879,3293,72.9,27.1,8468,3704,69.6,30.4,12097,75,99.4,0.6,11942,230,98.1,1.9
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,No scaled score,15438,21098,42.3,57.7,9275,27261,25.4,74.6,7038,29498,19.3,80.7,21869,14667,59.9,40.1,15905,20631,43.5,56.5
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,Total,117623,204328,36.5,63.5,68461,253490,21.3,78.7,47638,274313,14.8,85.2,201099,120852,62.5,37.5,140425,181526,43.6,56.4
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,Less than 80,278,8666,3.1,96.9,59,8885,0.7,99.3,31,8913,0.3,99.7,228,8716,2.5,97.5,80,8864,0.9,99.1
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,80 - 89.5,965,11866,7.5,92.5,46,12785,0.4,99.6,12,12819,0.1,99.9,523,12308,4.1,95.9,119,12712,0.9,99.1
