"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","subjects","KS2_Prior","num_U","num_1","num_2","num_3","num_4","num_5","num_6","num_7","num_8","num_9","num_X","num_covid_impacted","all_grades","perc_1","perc_2","perc_3","perc_4","perc_5","perc_6","perc_7","perc_8","perc_9","perc_U","perc_X","per_covid_impacted"
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","80 - 89.5",265,1167,1161,558,192,76,24,10,3,0,111,9,3576,32.6,32.5,15.6,5.4,2.1,0.7,0.3,0.1,0,7.4,3.1,0.3
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","90 - 95.5",278,1269,2261,2242,1091,601,261,95,20,6,163,44,8331,15.2,27.1,26.9,13.1,7.2,3.1,1.1,0.2,0.1,3.3,2,0.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","96 - 99.5",193,819,2098,3246,2380,1827,1012,371,124,26,174,42,12312,6.7,17,26.4,19.3,14.8,8.2,3,1,0.2,1.6,1.4,0.3
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","100 - 102",129,499,1385,2620,2517,2332,1655,815,339,76,129,48,12544,4,11,20.9,20.1,18.6,13.2,6.5,2.7,0.6,1,1,0.4
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","102.5 - 104.5",93,355,984,2335,2802,3278,2910,1688,764,252,132,89,15682,2.3,6.3,14.9,17.9,20.9,18.6,10.8,4.9,1.6,0.6,0.8,0.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","105 - 107",74,241,622,1639,2343,3339,3656,2782,1659,587,121,97,17160,1.4,3.6,9.6,13.7,19.5,21.3,16.2,9.7,3.4,0.4,0.7,0.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","107.5 - 109.5",15,101,279,817,1404,2265,3267,3203,2436,1172,67,77,15103,0.7,1.8,5.4,9.3,15,21.6,21.2,16.1,7.8,0.1,0.4,0.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","110 - 113",18,38,139,391,688,1524,2745,3492,3856,2809,43,78,15821,0.2,0.9,2.5,4.3,9.6,17.4,22.1,24.4,17.8,0.1,0.3,0.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","113.5 - 116.5",1,10,29,62,155,369,837,1700,2454,3209,16,48,8890,0.1,0.3,0.7,1.7,4.2,9.4,19.1,27.6,36.1,0,0.2,0.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","117 - 120",0,2,1,10,15,46,156,349,743,1871,6,19,3218,0.1,0,0.3,0.5,1.4,4.8,10.8,23.1,58.1,0,0.2,0.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","German","Less than 80",0,4,6,2,5,4,0,0,0,0,1,0,22,18.2,27.3,9.1,22.7,18.2,0,0,0,0,0,4.5,0
